,Cause,Effect
108,audio_Truck,audio_Acoustic guitar
109,visual_Train horn,audio_Acoustic guitar
110,visual_Bus,audio_Acoustic guitar
111,visual_Acoustic guitar,audio_Acoustic guitar
112,audio_Acoustic guitar,visual_Infant cry
113,audio_Frying (food),audio_Chainsaw
114,audio_Frying (food),audio_Infant cry
115,visual_Motorcycle,audio_Frying (food)
116,audio_Frying (food),visual_Acoustic guitar
117,visual_Frying (food),audio_Frying (food)
118,audio_Frying (food),visual_Horse
119,visual_Truck,audio_Frying (food)
120,audio_Horse,audio_Chainsaw
121,audio_Helicopter,audio_Chainsaw
122,audio_Infant cry,audio_Chainsaw
123,audio_Truck,audio_Chainsaw
124,visual_Motorcycle,audio_Chainsaw
125,visual_Cat,audio_Chainsaw
126,visual_Bus,audio_Chainsaw
127,audio_Chainsaw,visual_Toilet flush
128,audio_Chainsaw,visual_Acoustic guitar
129,visual_Frying (food),audio_Chainsaw
130,audio_Chainsaw,visual_Chainsaw
131,audio_Chainsaw,visual_Horse
132,audio_Chainsaw,visual_Infant cry
133,audio_Horse,audio_Infant cry
134,audio_Horse,visual_Clock
135,audio_Horse,visual_Motorcycle
136,audio_Horse,visual_Acoustic guitar
137,audio_Horse,visual_Horse
138,audio_Horse,visual_Helicopter
139,audio_Horse,visual_Infant cry
140,audio_Helicopter,audio_Infant cry
141,audio_Truck,audio_Helicopter
142,visual_Bark,audio_Helicopter
143,audio_Helicopter,visual_Acoustic guitar
144,audio_Helicopter,visual_Chainsaw
145,visual_Helicopter,audio_Helicopter
146,visual_Truck,audio_Helicopter
147,visual_Motorcycle,audio_Infant cry
148,visual_Cat,audio_Infant cry
149,visual_Bus,audio_Infant cry
150,audio_Infant cry,visual_Rodents/rats
151,audio_Infant cry,visual_Acoustic guitar
152,audio_Infant cry,visual_Infant cry
153,visual_Truck,audio_Infant cry
154,audio_Truck,visual_Motorcycle
155,audio_Truck,visual_Bus
156,audio_Truck,visual_Acoustic guitar
157,audio_Truck,visual_Frying (food)
158,audio_Truck,visual_Helicopter
159,audio_Truck,visual_Infant cry
160,audio_Truck,visual_Truck
161,visual_Clock,visual_Train horn
162,visual_Bark,visual_Clock
163,visual_Bus,visual_Clock
164,visual_Clock,visual_Rodents/rats
165,visual_Clock,visual_Toilet flush
166,visual_Clock,visual_Acoustic guitar
167,visual_Clock,visual_Chainsaw
168,visual_Clock,visual_Horse
169,visual_Clock,visual_Infant cry
170,visual_Motorcycle,visual_Train horn
171,visual_Motorcycle,visual_Toilet flush
172,visual_Motorcycle,visual_Acoustic guitar
173,visual_Motorcycle,visual_Frying (food)
174,visual_Motorcycle,visual_Chainsaw
175,visual_Motorcycle,visual_Horse
176,visual_Motorcycle,visual_Helicopter
177,visual_Motorcycle,visual_Infant cry
178,visual_Cat,visual_Train horn
179,visual_Bus,visual_Train horn
180,visual_Train horn,visual_Toilet flush
181,visual_Train horn,visual_Acoustic guitar
182,visual_Frying (food),visual_Train horn
183,visual_Train horn,visual_Chainsaw
184,visual_Train horn,visual_Horse
185,visual_Train horn,visual_Helicopter
186,visual_Train horn,visual_Infant cry
187,visual_Cat,visual_Bark
188,visual_Bark,visual_Rodents/rats
189,visual_Bark,visual_Toilet flush
190,visual_Bark,visual_Acoustic guitar
191,visual_Bark,visual_Frying (food)
192,visual_Bark,visual_Chainsaw
193,visual_Bark,visual_Horse
194,visual_Bark,visual_Helicopter
195,visual_Bark,visual_Infant cry
196,visual_Truck,visual_Bark
197,visual_Cat,visual_Bus
198,visual_Cat,visual_Rodents/rats
199,visual_Cat,visual_Toilet flush
200,visual_Cat,visual_Acoustic guitar
201,visual_Cat,visual_Chainsaw
202,visual_Cat,visual_Infant cry
203,visual_Bus,visual_Toilet flush
204,visual_Bus,visual_Acoustic guitar
205,visual_Bus,visual_Chainsaw
206,visual_Bus,visual_Helicopter
207,visual_Bus,visual_Infant cry
208,visual_Rodents/rats,visual_Toilet flush
209,visual_Rodents/rats,visual_Acoustic guitar
210,visual_Rodents/rats,visual_Chainsaw
211,visual_Rodents/rats,visual_Horse
212,visual_Rodents/rats,visual_Infant cry
213,visual_Truck,visual_Rodents/rats
214,visual_Acoustic guitar,visual_Toilet flush
215,visual_Frying (food),visual_Toilet flush
216,visual_Toilet flush,visual_Chainsaw
217,visual_Horse,visual_Toilet flush
218,visual_Helicopter,visual_Toilet flush
219,visual_Infant cry,visual_Toilet flush
220,visual_Truck,visual_Toilet flush
221,visual_Frying (food),visual_Acoustic guitar
222,visual_Acoustic guitar,visual_Chainsaw
223,visual_Acoustic guitar,visual_Horse
224,visual_Helicopter,visual_Acoustic guitar
225,visual_Truck,visual_Acoustic guitar
226,visual_Frying (food),visual_Chainsaw
227,visual_Frying (food),visual_Horse
228,visual_Frying (food),visual_Helicopter
229,visual_Frying (food),visual_Infant cry
230,visual_Horse,visual_Chainsaw
231,visual_Helicopter,visual_Chainsaw
232,visual_Infant cry,visual_Chainsaw
233,visual_Truck,visual_Chainsaw
234,visual_Helicopter,visual_Horse
235,visual_Infant cry,visual_Horse
236,visual_Truck,visual_Horse
237,visual_Helicopter,visual_Infant cry
238,visual_Truck,visual_Infant cry
