,Cause,Effect
228,visual_Acoustic guitar,visual_Infant cry
229,visual_Acoustic guitar,visual_Truck
230,visual_Frying (food),visual_Horse
231,visual_Helicopter,visual_Frying (food)
232,visual_Frying (food),visual_Infant cry
233,visual_Frying (food),visual_Truck
234,visual_Chainsaw,visual_Horse
235,visual_Chainsaw,visual_Infant cry
236,visual_Chainsaw,visual_Truck
237,visual_Helicopter,visual_Horse
238,visual_Infant cry,visual_Horse
239,visual_Truck,visual_Horse
240,visual_Helicopter,visual_Infant cry
241,visual_Helicopter,visual_Truck
242,visual_Infant cry,visual_Truck
