,Cause,Effect
164,visual_Helicopter,audio_Helicopter
165,audio_Infant cry,audio_Truck
166,audio_Infant cry,visual_Clock
167,audio_Infant cry,visual_Train horn
168,audio_Infant cry,visual_Bark
169,audio_Infant cry,visual_Bus
170,audio_Infant cry,visual_Rodents/rats
171,visual_Toilet flush,audio_Infant cry
172,audio_Infant cry,visual_Frying (food)
173,audio_Infant cry,visual_Chainsaw
174,visual_Infant cry,audio_Infant cry
175,visual_Clock,audio_Truck
176,visual_Motorcycle,audio_Truck
177,visual_Train horn,audio_Truck
178,visual_Bark,audio_Truck
179,visual_Cat,audio_Truck
180,visual_Bus,audio_Truck
181,visual_Rodents/rats,audio_Truck
182,visual_Toilet flush,audio_Truck
183,visual_Acoustic guitar,audio_Truck
184,visual_Frying (food),audio_Truck
185,visual_Chainsaw,audio_Truck
186,visual_Horse,audio_Truck
187,visual_Helicopter,audio_Truck
188,visual_Infant cry,audio_Truck
189,visual_Truck,audio_Truck
190,visual_Clock,visual_Motorcycle
191,visual_Clock,visual_Train horn
192,visual_Clock,visual_Bark
193,visual_Bus,visual_Clock
194,visual_Clock,visual_Rodents/rats
195,visual_Toilet flush,visual_Clock
196,visual_Clock,visual_Chainsaw
197,visual_Clock,visual_Horse
198,visual_Motorcycle,visual_Train horn
199,visual_Motorcycle,visual_Bark
200,visual_Cat,visual_Motorcycle
201,visual_Bus,visual_Motorcycle
202,visual_Rodents/rats,visual_Motorcycle
203,visual_Motorcycle,visual_Frying (food)
204,visual_Motorcycle,visual_Horse
205,visual_Helicopter,visual_Motorcycle
206,visual_Bark,visual_Train horn
207,visual_Cat,visual_Train horn
208,visual_Bus,visual_Train horn
209,visual_Rodents/rats,visual_Train horn
210,visual_Toilet flush,visual_Train horn
211,visual_Acoustic guitar,visual_Train horn
212,visual_Frying (food),visual_Train horn
213,visual_Chainsaw,visual_Train horn
214,visual_Horse,visual_Train horn
215,visual_Helicopter,visual_Train horn
216,visual_Infant cry,visual_Train horn
217,visual_Truck,visual_Train horn
218,visual_Cat,visual_Bark
219,visual_Bus,visual_Bark
220,visual_Rodents/rats,visual_Bark
221,visual_Toilet flush,visual_Bark
222,visual_Acoustic guitar,visual_Bark
223,visual_Chainsaw,visual_Bark
224,visual_Bark,visual_Horse
225,visual_Helicopter,visual_Bark
226,visual_Infant cry,visual_Bark
227,visual_Truck,visual_Bark
228,visual_Cat,visual_Rodents/rats
229,visual_Cat,visual_Toilet flush
230,visual_Cat,visual_Acoustic guitar
231,visual_Cat,visual_Frying (food)
232,visual_Cat,visual_Chainsaw
233,visual_Cat,visual_Horse
234,visual_Bus,visual_Rodents/rats
235,visual_Bus,visual_Frying (food)
236,visual_Bus,visual_Horse
237,visual_Helicopter,visual_Bus
238,visual_Toilet flush,visual_Rodents/rats
239,visual_Rodents/rats,visual_Frying (food)
240,visual_Rodents/rats,visual_Horse
241,visual_Helicopter,visual_Rodents/rats
242,visual_Infant cry,visual_Rodents/rats
243,visual_Toilet flush,visual_Frying (food)
244,visual_Toilet flush,visual_Horse
245,visual_Acoustic guitar,visual_Frying (food)
246,visual_Acoustic guitar,visual_Horse
247,visual_Helicopter,visual_Acoustic guitar
248,visual_Infant cry,visual_Acoustic guitar
249,visual_Truck,visual_Acoustic guitar
250,visual_Chainsaw,visual_Frying (food)
251,visual_Frying (food),visual_Horse
252,visual_Helicopter,visual_Frying (food)
253,visual_Infant cry,visual_Frying (food)
254,visual_Truck,visual_Frying (food)
255,visual_Chainsaw,visual_Horse
256,visual_Truck,visual_Chainsaw
257,visual_Helicopter,visual_Horse
258,visual_Infant cry,visual_Horse
259,visual_Truck,visual_Horse
