,Cause,Effect
161,visual_Infant cry,audio_Infant cry
162,visual_Bark,audio_Truck
163,visual_Acoustic guitar,audio_Truck
164,visual_Horse,audio_Truck
165,visual_Truck,audio_Truck
166,visual_Motorcycle,visual_Clock
167,visual_Train horn,visual_Clock
168,visual_Bark,visual_Clock
169,visual_Cat,visual_Clock
170,visual_Bus,visual_Clock
171,visual_Rodents/rats,visual_Clock
172,visual_Toilet flush,visual_Clock
173,visual_Acoustic guitar,visual_Clock
174,visual_Frying (food),visual_Clock
175,visual_Chainsaw,visual_Clock
176,visual_Horse,visual_Clock
177,visual_Helicopter,visual_Clock
178,visual_Infant cry,visual_Clock
179,visual_Truck,visual_Clock
180,visual_Motorcycle,visual_Train horn
181,visual_Motorcycle,visual_Bark
182,visual_Motorcycle,visual_Acoustic guitar
183,visual_Motorcycle,visual_Frying (food)
184,visual_Motorcycle,visual_Helicopter
185,visual_Motorcycle,visual_Truck
186,visual_Train horn,visual_Bark
187,visual_Train horn,visual_Acoustic guitar
188,visual_Train horn,visual_Helicopter
189,visual_Cat,visual_Bark
190,visual_Bus,visual_Bark
191,visual_Rodents/rats,visual_Bark
192,visual_Toilet flush,visual_Bark
193,visual_Acoustic guitar,visual_Bark
194,visual_Frying (food),visual_Bark
195,visual_Chainsaw,visual_Bark
196,visual_Horse,visual_Bark
197,visual_Helicopter,visual_Bark
198,visual_Infant cry,visual_Bark
199,visual_Truck,visual_Bark
200,visual_Cat,visual_Rodents/rats
201,visual_Cat,visual_Toilet flush
202,visual_Cat,visual_Acoustic guitar
203,visual_Cat,visual_Chainsaw
204,visual_Cat,visual_Horse
205,visual_Cat,visual_Helicopter
206,visual_Cat,visual_Infant cry
207,visual_Bus,visual_Toilet flush
208,visual_Bus,visual_Acoustic guitar
209,visual_Bus,visual_Helicopter
210,visual_Bus,visual_Infant cry
211,visual_Truck,visual_Bus
212,visual_Rodents/rats,visual_Toilet flush
213,visual_Rodents/rats,visual_Acoustic guitar
214,visual_Rodents/rats,visual_Helicopter
215,visual_Rodents/rats,visual_Infant cry
216,visual_Truck,visual_Rodents/rats
217,visual_Toilet flush,visual_Acoustic guitar
218,visual_Horse,visual_Toilet flush
219,visual_Toilet flush,visual_Helicopter
220,visual_Toilet flush,visual_Infant cry
221,visual_Truck,visual_Toilet flush
222,visual_Frying (food),visual_Acoustic guitar
223,visual_Chainsaw,visual_Acoustic guitar
224,visual_Horse,visual_Acoustic guitar
225,visual_Acoustic guitar,visual_Helicopter
226,visual_Infant cry,visual_Acoustic guitar
227,visual_Truck,visual_Acoustic guitar
228,visual_Frying (food),visual_Horse
229,visual_Frying (food),visual_Helicopter
230,visual_Frying (food),visual_Truck
231,visual_Chainsaw,visual_Horse
232,visual_Chainsaw,visual_Helicopter
233,visual_Chainsaw,visual_Truck
234,visual_Horse,visual_Helicopter
235,visual_Horse,visual_Infant cry
236,visual_Truck,visual_Horse
237,visual_Infant cry,visual_Helicopter
238,visual_Truck,visual_Helicopter
239,visual_Truck,visual_Infant cry
