,Cause,Effect
171,visual_Infant cry,visual_Motorcycle
172,visual_Motorcycle,visual_Truck
173,visual_Bus,visual_Train horn
174,visual_Rodents/rats,visual_Train horn
175,visual_Train horn,visual_Toilet flush
176,visual_Train horn,visual_Acoustic guitar
177,visual_Helicopter,visual_Train horn
178,visual_Train horn,visual_Truck
179,visual_Bark,visual_Cat
180,visual_Bark,visual_Bus
181,visual_Bark,visual_Toilet flush
182,visual_Bark,visual_Acoustic guitar
183,visual_Frying (food),visual_Bark
184,visual_Bark,visual_Horse
185,visual_Helicopter,visual_Bark
186,visual_Bark,visual_Truck
187,visual_Cat,visual_Toilet flush
188,visual_Cat,visual_Acoustic guitar
189,visual_Frying (food),visual_Cat
190,visual_Cat,visual_Horse
191,visual_Helicopter,visual_Cat
192,visual_Cat,visual_Truck
193,visual_Rodents/rats,visual_Bus
194,visual_Bus,visual_Acoustic guitar
195,visual_Frying (food),visual_Bus
196,visual_Rodents/rats,visual_Toilet flush
197,visual_Rodents/rats,visual_Acoustic guitar
198,visual_Rodents/rats,visual_Chainsaw
199,visual_Rodents/rats,visual_Truck
200,visual_Toilet flush,visual_Acoustic guitar
201,visual_Frying (food),visual_Toilet flush
202,visual_Chainsaw,visual_Toilet flush
203,visual_Horse,visual_Toilet flush
204,visual_Helicopter,visual_Toilet flush
205,visual_Infant cry,visual_Toilet flush
206,visual_Truck,visual_Toilet flush
207,visual_Frying (food),visual_Acoustic guitar
208,visual_Chainsaw,visual_Acoustic guitar
209,visual_Horse,visual_Acoustic guitar
210,visual_Helicopter,visual_Acoustic guitar
211,visual_Infant cry,visual_Acoustic guitar
212,visual_Truck,visual_Acoustic guitar
213,visual_Helicopter,visual_Frying (food)
214,visual_Frying (food),visual_Truck
215,visual_Chainsaw,visual_Horse
216,visual_Chainsaw,visual_Truck
217,visual_Infant cry,visual_Horse
