,Cause,Effect
110,visual_Frying (food),audio_Frying (food)
111,visual_Chainsaw,audio_Frying (food)
112,audio_Frying (food),visual_Helicopter
113,audio_Chainsaw,audio_Helicopter
114,audio_Chainsaw,visual_Bark
115,visual_Rodents/rats,audio_Chainsaw
116,audio_Chainsaw,visual_Toilet flush
117,audio_Chainsaw,visual_Acoustic guitar
118,visual_Frying (food),audio_Chainsaw
119,audio_Chainsaw,visual_Chainsaw
120,visual_Horse,audio_Chainsaw
121,audio_Chainsaw,visual_Helicopter
122,audio_Horse,audio_Helicopter
123,audio_Horse,audio_Truck
124,visual_Clock,audio_Horse
125,audio_Horse,visual_Bark
126,audio_Horse,visual_Bus
127,audio_Horse,visual_Acoustic guitar
128,visual_Horse,audio_Horse
129,audio_Infant cry,audio_Helicopter
130,audio_Truck,audio_Helicopter
131,visual_Clock,audio_Helicopter
132,visual_Motorcycle,audio_Helicopter
133,visual_Train horn,audio_Helicopter
134,audio_Helicopter,visual_Bark
135,visual_Cat,audio_Helicopter
136,visual_Bus,audio_Helicopter
137,visual_Rodents/rats,audio_Helicopter
138,visual_Toilet flush,audio_Helicopter
139,visual_Acoustic guitar,audio_Helicopter
140,visual_Frying (food),audio_Helicopter
141,visual_Chainsaw,audio_Helicopter
142,visual_Horse,audio_Helicopter
143,visual_Helicopter,audio_Helicopter
144,visual_Infant cry,audio_Helicopter
145,visual_Truck,audio_Helicopter
146,visual_Clock,audio_Infant cry
147,visual_Motorcycle,audio_Infant cry
148,visual_Train horn,audio_Infant cry
149,audio_Infant cry,visual_Bark
150,visual_Cat,audio_Infant cry
151,visual_Bus,audio_Infant cry
152,visual_Rodents/rats,audio_Infant cry
153,visual_Frying (food),audio_Infant cry
154,visual_Chainsaw,audio_Infant cry
155,visual_Horse,audio_Infant cry
156,audio_Infant cry,visual_Infant cry
157,visual_Train horn,audio_Truck
158,audio_Truck,visual_Bark
159,visual_Cat,audio_Truck
160,visual_Bus,audio_Truck
161,visual_Rodents/rats,audio_Truck
162,visual_Toilet flush,audio_Truck
163,visual_Frying (food),audio_Truck
164,visual_Horse,audio_Truck
165,visual_Truck,audio_Truck
166,visual_Train horn,visual_Clock
167,visual_Clock,visual_Bark
168,visual_Cat,visual_Clock
169,visual_Clock,visual_Acoustic guitar
170,visual_Clock,visual_Chainsaw
171,visual_Clock,visual_Helicopter
172,visual_Clock,visual_Truck
173,visual_Motorcycle,visual_Bark
174,visual_Motorcycle,visual_Bus
175,visual_Motorcycle,visual_Frying (food)
176,visual_Motorcycle,visual_Chainsaw
177,visual_Motorcycle,visual_Helicopter
178,visual_Motorcycle,visual_Truck
179,visual_Train horn,visual_Bark
180,visual_Train horn,visual_Cat
181,visual_Train horn,visual_Bus
182,visual_Train horn,visual_Acoustic guitar
183,visual_Train horn,visual_Frying (food)
184,visual_Train horn,visual_Helicopter
185,visual_Cat,visual_Bark
186,visual_Bus,visual_Bark
187,visual_Rodents/rats,visual_Bark
188,visual_Toilet flush,visual_Bark
189,visual_Acoustic guitar,visual_Bark
190,visual_Frying (food),visual_Bark
191,visual_Chainsaw,visual_Bark
192,visual_Horse,visual_Bark
193,visual_Helicopter,visual_Bark
194,visual_Infant cry,visual_Bark
195,visual_Truck,visual_Bark
196,visual_Rodents/rats,visual_Cat
197,visual_Cat,visual_Toilet flush
198,visual_Cat,visual_Acoustic guitar
199,visual_Frying (food),visual_Cat
200,visual_Horse,visual_Cat
201,visual_Cat,visual_Helicopter
202,visual_Cat,visual_Truck
203,visual_Bus,visual_Truck
204,visual_Rodents/rats,visual_Toilet flush
205,visual_Rodents/rats,visual_Horse
206,visual_Rodents/rats,visual_Helicopter
207,visual_Rodents/rats,visual_Truck
208,visual_Frying (food),visual_Toilet flush
209,visual_Horse,visual_Toilet flush
210,visual_Infant cry,visual_Toilet flush
211,visual_Toilet flush,visual_Truck
212,visual_Chainsaw,visual_Acoustic guitar
213,visual_Horse,visual_Acoustic guitar
214,visual_Frying (food),visual_Horse
215,visual_Frying (food),visual_Truck
216,visual_Chainsaw,visual_Infant cry
217,visual_Chainsaw,visual_Truck
218,visual_Horse,visual_Helicopter
219,visual_Horse,visual_Truck
220,visual_Infant cry,visual_Helicopter
221,visual_Helicopter,visual_Truck
222,visual_Infant cry,visual_Truck
